,time,epoch,size
0,1.0258839130401611,29.0,200.0
1,1.1780002117156982,38.0,200.0
2,0.6566698551177979,20.0,200.0
3,0.8930079936981201,29.0,200.0
4,2.8777620792388916,99.0,200.0
5,9.356902122497559,99.0,500.0
6,1.9595630168914795,22.0,500.0
7,5.710379123687744,49.0,500.0
8,7.698976039886475,93.0,500.0
9,3.179198980331421,29.0,500.0
10,15.670795679092407,62.0,1000.0
11,5.4720237255096436,27.0,1000.0
12,7.283859968185425,36.0,1000.0
13,5.721390008926392,29.0,1000.0
14,4.037125110626221,20.0,1000.0
15,19.41682720184326,43.0,2000.0
16,19.74941897392273,44.0,2000.0
17,8.351769208908081,18.0,2000.0
18,21.540189027786255,48.0,2000.0
19,13.097707986831665,28.0,2000.0
20,36.745505809783936,29.0,5000.0
21,33.76971793174744,27.0,5000.0
22,15.743749856948853,12.0,5000.0
23,34.85446381568909,27.0,5000.0
24,25.269546270370483,20.0,5000.0
25,63.81260704994202,21.0,10000.0
26,73.90482997894287,26.0,10000.0
27,62.74177408218384,23.0,10000.0
28,30.84992814064026,11.0,10000.0
29,83.80128693580627,31.0,10000.0
30,151.1960849761963,27.0,20000.0
31,222.20614004135132,40.0,20000.0
32,82.32072186470032,14.0,20000.0
33,172.9652922153473,31.0,20000.0
34,212.67467188835144,38.0,20000.0
35,298.63855481147766,20.0,50000.0
36,325.8975269794464,22.0,50000.0
37,333.55162525177,23.0,50000.0
38,167.63743710517883,11.0,50000.0
39,262.8737223148346,18.0,50000.0
